celltype,gene,marker_group,marker_order,actual_var_name,mean_expression,fraction_expressing_pct,celltype_n,scaled_mean_expression
Enterocytes,TFF3,Goblet,9,TFF3,1.2756064690026954,48.18059299191375,4452,0.0368222938323001
Enterocytes,SPDEF,Goblet,10,SPDEF,0.010332434860736747,0.9883198562443846,4452,0.024436350765681812
Enterocytes,CHGA,Enteroendocrine,11,CHGA,0.03459119496855346,1.9092542677448336,4452,0.008869944030927241
Enterocytes,NEUROD1,Enteroendocrine,12,NEUROD1,0.0017969451931716084,0.15723270440251574,4452,0.008811336517394115
Enterocytes,TPH1,Enteroendocrine,13,TPH1,0.0076370170709793355,0.44923629829290207,4452,0.013258051374774685
Enterocytes,TRPM5,Tuft,14,TRPM5,0.0017969451931716084,0.17969451931716085,4452,0.002644412795191406
Enterocytes,POU2F3,Tuft,15,POU2F3,0.004267744833782569,0.40431266846361186,4452,0.005458178402219074
Enterocytes,SH2D6,Tuft,16,SH2D6,0.0024707996406109615,0.24707996406109614,4452,0.0013706328870549695
Enterocytes,CD8A,CD8+ T cells,17,CD8A,0.012803234501347708,1.1904761904761905,4452,0.014146709312359375
Enterocytes,NKG7,CD8+ T cells,18,NKG7,0.03593890386343217,2.897574123989218,4452,0.016985557159474165
Enterocytes,GZMB,CD8+ T cells,19,GZMB,0.004492362982929021,0.44923629829290207,4452,0.011738217392987641
Enterocytes,LEF1,CD4+ T cells,20,LEF1,0.0024707996406109615,0.24707996406109614,4452,0.021470396877033185
Enterocytes,IL7R,CD4+ T cells,21,IL7R,0.014375561545372867,1.2129380053908356,4452,0.0026551605566420547
Enterocytes,CD40LG,CD4+ T cells,22,CD40LG,0.00022461814914645105,0.022461814914645106,4452,0.0005811475727403046
Enterocytes,MS4A1,B cells,23,MS4A1,0.0004492362982929021,0.04492362982929021,4452,0.0001791977335212603
Enterocytes,CD79A,B cells,24,CD79A,0.0110062893081761,1.10062893081761,4452,0.00042336409942140174
Enterocytes,CD38,Plasma,25,CD38,0.009209344115004492,0.8310871518418688,4452,0.0
Enterocytes,MZB1,Plasma,26,MZB1,0.03706199460916442,3.3917340521114108,4452,0.0
Enterocytes,XBP1,Plasma,27,XBP1,0.1655435759209344,11.97214734950584,4452,0.0022288379954278556
Enterocytes,LYZ,Myeloid,28,LYZ,0.5289757412398922,7.973944294699012,4452,0.03456575548444512
Enterocytes,C1QA,Myeloid,29,C1QA,0.3915094339622642,4.469901168014376,4452,0.03164271068812534
Enterocytes,CD68,Myeloid,30,CD68,0.14824797843665768,10.826594788858939,4452,0.07743285511700812
Goblet,LGR5,Stem/TA,1,LGR5,0.0017472335468841002,0.17472335468841002,1717,0.0653377250725567
Goblet,OLFM4,Stem/TA,2,OLFM4,0.013395457192778102,1.04834012813046,1717,0.05488930433504839
Goblet,MKI67,Stem/TA,3,MKI67,0.0244612696563774,2.03843913803145,1717,0.0765368551806436
Goblet,FABP1,Enterocytes,4,FABP1,7.087361677344205,74.78159580663949,1717,0.06803885834048246
Goblet,ALPI,Enterocytes,5,ALPI,0.0029120559114735,0.29120559114735,1717,0.10714440428000019
Goblet,SLC26A3,Enterocytes,6,SLC26A3,0.7280139778683751,25.509609784507862,1717,0.06563417180393676
Goblet,BEST4,Enterocytes,7,BEST4,0.037274315666860805,2.9702970297029703,1717,0.006974010394990852
Goblet,MUC2,Goblet,8,MUC2,20.290623179965056,97.14618520675597,1717,1.0
Goblet,TFF3,Goblet,9,TFF3,33.56726849155504,97.26266744321491,1717,1.0
Goblet,SPDEF,Goblet,10,SPDEF,0.42283051834595226,30.168899242865464,1717,1.0
Goblet,CHGA,Enteroendocrine,11,CHGA,0.023296447291788,0.8736167734420501,1717,0.005973722034912612
Goblet,NEUROD1,Enteroendocrine,12,NEUROD1,0.0005824111822947001,0.05824111822947001,1717,0.002855858341252082
Goblet,TPH1,Enteroendocrine,13,TPH1,0.007571345369831101,0.64065230052417,1717,0.01314404366998629
Goblet,TRPM5,Tuft,14,TRPM5,0.0017472335468841002,0.11648223645894001,1717,0.0025712563550215795
Goblet,POU2F3,Tuft,15,POU2F3,0.0064065230052417,0.52417006406523,1717,0.008193541756229423
