celltype,gene,marker_group,marker_order,mean_expression_log1p_cp10k,scaled_mean_expression
Enteroendocrine,GZMB,CD8+ T cells,18,0.0,0.0
Tuft,GZMB,CD8+ T cells,18,0.0,0.0
CD8+ T cells,GZMB,CD8+ T cells,18,0.643010682252473,1.0
CD4+ T cells,GZMB,CD8+ T cells,18,0.0,0.0
B cells,GZMB,CD8+ T cells,18,4.2761757139611733e-16,6.650240551186001e-16
Plasma,GZMB,CD8+ T cells,18,0.0,0.0
Myeloid,GZMB,CD8+ T cells,18,0.0,0.0
Stem/TA,LEF1,CD4+ T cells,19,0.022183373402869,0.0103209254993231
Enterocytes,LEF1,CD4+ T cells,19,0.0010085531531625,0.0004692344021289
Goblet,LEF1,CD4+ T cells,19,0.0038883417285924,0.0018090704496513
Enteroendocrine,LEF1,CD4+ T cells,19,0.0345518995876043,0.0160754442089334
Tuft,LEF1,CD4+ T cells,19,0.0432826910333791,0.0201374886250597
CD8+ T cells,LEF1,CD4+ T cells,19,1.3348995343577374,0.6210686892826467
CD4+ T cells,LEF1,CD4+ T cells,19,2.1493589314566592,1.0
B cells,LEF1,CD4+ T cells,19,0.0532107416930511,0.0247565638825104
Plasma,LEF1,CD4+ T cells,19,0.0,0.0
Myeloid,LEF1,CD4+ T cells,19,0.0,0.0
Stem/TA,CD28,CD4+ T cells,20,0.0049701436629741,0.0035181651050902
Enterocytes,CD28,CD4+ T cells,20,0.0010274315122013,0.0007272775072932
Goblet,CD28,CD4+ T cells,20,0.0004011048511054,0.0002839260162949
Enteroendocrine,CD28,CD4+ T cells,20,0.0,0.0
Tuft,CD28,CD4+ T cells,20,0.0068412040391822,0.0048426136062735
CD8+ T cells,CD28,CD4+ T cells,20,0.9024240904444052,0.6387897735524276
CD4+ T cells,CD28,CD4+ T cells,20,1.4127090442069206,1.0
B cells,CD28,CD4+ T cells,20,0.0125378177473021,0.0088750176823145
Plasma,CD28,CD4+ T cells,20,0.4146685132680272,0.2935271880423315
Myeloid,CD28,CD4+ T cells,20,0.1876938564191718,0.1328609434397308
Stem/TA,ICOS,CD4+ T cells,21,0.0042604272688232,0.0029148708140327
Enterocytes,ICOS,CD4+ T cells,21,4.642084268893473e-05,3.175990363852737e-05
Goblet,ICOS,CD4+ T cells,21,0.0,0.0
Enteroendocrine,ICOS,CD4+ T cells,21,0.0,0.0
Tuft,ICOS,CD4+ T cells,21,0.0,0.0
CD8+ T cells,ICOS,CD4+ T cells,21,0.7960240985327286,0.544618477367095
CD4+ T cells,ICOS,CD4+ T cells,21,1.4616178694138868,1.0
B cells,ICOS,CD4+ T cells,21,0.0049496245101971,0.0033864012022389
Plasma,ICOS,CD4+ T cells,21,0.0,0.0
Myeloid,ICOS,CD4+ T cells,21,0.0214651516035058,0.0146858847669353
Stem/TA,MS4A1,B cells,22,0.0083991560939461,0.0045075866888732
Enterocytes,MS4A1,B cells,22,0.000342304450845,0.0001837050018969
Goblet,MS4A1,B cells,22,8.494009371802789e-17,4.5584917283653203e-17
Enteroendocrine,MS4A1,B cells,22,0.0,0.0
Tuft,MS4A1,B cells,22,0.0,0.0
CD8+ T cells,MS4A1,B cells,22,0.0051735117110676,0.0027764756676383
CD4+ T cells,MS4A1,B cells,22,0.0,0.0
B cells,MS4A1,B cells,22,1.8633376735003424,1.0
Plasma,MS4A1,B cells,22,0.0639633278933317,0.03432728742782
Myeloid,MS4A1,B cells,22,0.0,0.0
Stem/TA,CD79A,B cells,23,0.0091857704532488,0.0033115779791094
Enterocytes,CD79A,B cells,23,0.0005574376754448,0.0002009628196267
Goblet,CD79A,B cells,23,6.378049978009081e-05,2.2993618188405737e-05
Enteroendocrine,CD79A,B cells,23,0.0,0.0
Tuft,CD79A,B cells,23,1.8561959148469095e-16,6.69180396767464e-17
CD8+ T cells,CD79A,B cells,23,0.0045712651010106,0.0016479946807101
CD4+ T cells,CD79A,B cells,23,0.0,0.0
B cells,CD79A,B cells,23,2.7738348639820147,1.0
Plasma,CD79A,B cells,23,1.4087815189067212,0.5078822597551199
Myeloid,CD79A,B cells,23,0.0093227419737359,0.0033609578186469
Stem/TA,BANK1,B cells,24,0.0030769441911996,0.001332059277172
Enterocytes,BANK1,B cells,24,0.001749121429717,0.000757223167719
Goblet,BANK1,B cells,24,0.0008404118287934,0.000363827974648
Enteroendocrine,BANK1,B cells,24,0.0,0.0
Tuft,BANK1,B cells,24,0.0144872422018888,0.0062717632093744
CD8+ T cells,BANK1,B cells,24,0.0050089606453659,0.0021684606811305
CD4+ T cells,BANK1,B cells,24,0.0,0.0
B cells,BANK1,B cells,24,2.3099153648266957,1.0
Plasma,BANK1,B cells,24,0.0243976494015115,0.0105621399697222
Myeloid,BANK1,B cells,24,0.4465835714530407,0.1933333048704778
Stem/TA,JCHAIN,Plasma,25,0.0227607154544291,0.0033427740698914
Enterocytes,JCHAIN,Plasma,25,0.0004197764953181,0.0
Goblet,JCHAIN,Plasma,25,0.0086900978078527,0.0012374509273674
Enteroendocrine,JCHAIN,Plasma,25,0.0446777280314459,0.0066221179446509
Tuft,JCHAIN,Plasma,25,0.0015849436848903,0.0001743387185076
CD8+ T cells,JCHAIN,Plasma,25,0.0104617278003997,0.0015025319434951
CD4+ T cells,JCHAIN,Plasma,25,0.2452443535877627,0.0366319987478867
B cells,JCHAIN,Plasma,25,0.2749179752685073,0.041071929106038
Plasma,JCHAIN,Plasma,25,6.6837727318556475,1.0
Myeloid,JCHAIN,Plasma,25,0.0468991297475963,0.0069544962779497
Stem/TA,MZB1,Plasma,26,0.0074675359910589,0.0027184370410357
Enterocytes,MZB1,Plasma,26,7.335148018711797e-05,2.6702433171291205e-05
Goblet,MZB1,Plasma,26,0.0003838206997089,0.0001397237868628
Enteroendocrine,MZB1,Plasma,26,0.0,0.0
Tuft,MZB1,Plasma,26,0.0,0.0
CD8+ T cells,MZB1,Plasma,26,0.0010323392092741,0.0003758065778008
CD4+ T cells,MZB1,Plasma,26,0.0,0.0
B cells,MZB1,Plasma,26,1.3593064453028827,0.4948337705307832
Plasma,MZB1,Plasma,26,2.7469961151697935,1.0
Myeloid,MZB1,Plasma,26,0.009589627589754,0.0034909505465978
Stem/TA,XBP1,Plasma,27,0.4841845334809321,0.2074320374419384
Enterocytes,XBP1,Plasma,27,0.1903541900095706,0.0815506376988601
Goblet,XBP1,Plasma,27,0.6473028795615777,0.2773144242840205
Enteroendocrine,XBP1,Plasma,27,0.4044943576012529,0.1732915509047342
Tuft,XBP1,Plasma,27,0.5547941578002654,0.2376822772219456
CD8+ T cells,XBP1,Plasma,27,0.1368298504981224,0.0586199944629564
CD4+ T cells,XBP1,Plasma,27,0.0,0.0
B cells,XBP1,Plasma,27,0.1792327239695147,0.0767860320567822
Plasma,XBP1,Plasma,27,2.334183954667362,1.0
Myeloid,XBP1,Plasma,27,0.3730621471979112,0.1598255126601944
Stem/TA,C1QA,Myeloid,28,0.0309606396676666,0.008466743486886
Enterocytes,C1QA,Myeloid,28,0.0120611556412626,0.0032983398297363
Goblet,C1QA,Myeloid,28,4.5417420533131314e-17,1.2420210099587865e-17
Enteroendocrine,C1QA,Myeloid,28,0.0346829595895436,0.0094846787845075
Tuft,C1QA,Myeloid,28,0.0584609678644373,0.0159872025971155
CD8+ T cells,C1QA,Myeloid,28,0.0027465602627952,0.0007510962779185
CD4+ T cells,C1QA,Myeloid,28,0.0,0.0
B cells,C1QA,Myeloid,28,0.1201496463250306,0.0328570806802966
Plasma,C1QA,Myeloid,28,0.0132745348548817,0.0036301601882401
Myeloid,C1QA,Myeloid,28,3.656735286196035,1.0
Stem/TA,TYROBP,Myeloid,29,0.0114009155504766,0.003408628284511
